,지번주소,adr_dong,번지,전용면적(㎡),총세대수,총동수,room,bath,traffic_label,학교시설,편의시설
164,경기도 고양시 일산동 600 ,일산동,600,79.34,496 ,6,3,2,1.0,3,5
165,경기도 고양시 일산동 600 ,일산동,600,79.34,496 ,6,3,2,1.0,3,5
166,경기도 고양시 일산동 600 ,일산동,600,79.34,496 ,6,3,2,1.0,3,5
167,경기도 고양시 일산동 600 ,일산동,600,79.34,496 ,6,3,2,1.0,3,5
168,경기도 고양시 일산동 600 ,일산동,600,79.34,496 ,6,3,2,1.0,3,5
169,경기도 고양시 일산동 600 ,일산동,600,79.34,496 ,6,3,2,1.0,3,5
170,경기도 고양시 일산동 600 ,일산동,600,79.34,496 ,6,3,2,1.0,3,5
171,경기도 고양시 일산동 600 ,일산동,600,79.34,496 ,6,3,2,1.0,3,5
172,경기도 고양시 일산동 600 ,일산동,600,79.34,496 ,6,3,2,1.0,3,5
173,경기도 고양시 일산동 600 ,일산동,600,79.34,496 ,6,3,2,1.0,3,5
174,경기도 고양시 일산동 600 ,일산동,600,79.34,496 ,6,3,2,1.0,3,5
175,경기도 고양시 일산동 600 ,일산동,600,112.4,496 ,6,4,2,1.0,3,5
176,경기도 고양시 일산동 600 ,일산동,600,112.4,496 ,6,4,2,1.0,3,5
177,경기도 고양시 일산동 600 ,일산동,600,112.4,496 ,6,4,2,1.0,3,5
178,경기도 고양시 일산동 600 ,일산동,600,112.4,496 ,6,4,2,1.0,3,5
179,경기도 고양시 일산동 1066 ,일산동,1066,82.65,752 ,8,3,2,2.0,3,2
180,경기도 고양시 일산동 1066 ,일산동,1066,82.65,752 ,8,3,2,2.0,3,2
181,경기도 고양시 일산동 1066 ,일산동,1066,82.65,752 ,8,3,2,2.0,3,2
182,경기도 고양시 일산동 1048 ,일산동,1048,101.82,360 ,6,4,2,2.0,3,3
183,경기도 고양시 일산동 1048 ,일산동,1048,129.06,360 ,6,4,2,2.0,3,3
184,경기도 고양시 일산동 1048 ,일산동,1048,129.06,360 ,6,4,2,2.0,3,3
185,경기도 고양시 일산동 1048 ,일산동,1048,129.06,360 ,6,4,2,2.0,3,3
186,경기도 고양시 일산동 1048 ,일산동,1048,129.06,360 ,6,4,2,2.0,3,3
187,경기도 고양시 일산동 1048 ,일산동,1048,157.95,360 ,6,5,2,2.0,3,3
188,경기도 고양시 일산동 1048 ,일산동,1048,157.95,360 ,6,5,2,2.0,3,3
189,경기도 고양시 일산동 1055 ,일산동,1055,69.52,802 ,12,3,1,2.0,3,3
190,경기도 고양시 일산동 1055 ,일산동,1055,69.52,802 ,12,3,1,2.0,3,3
191,경기도 고양시 일산동 1055 ,일산동,1055,84.43,802 ,12,3,2,2.0,3,3
192,경기도 고양시 일산동 1055 ,일산동,1055,84.43,802 ,12,3,2,2.0,3,3
193,경기도 고양시 일산동 1055 ,일산동,1055,84.43,802 ,12,3,2,2.0,3,3
194,경기도 고양시 일산동 1057 ,일산동,1057,135.11,434 ,9,4,2,2.0,2,3
195,경기도 고양시 일산동 1057 ,일산동,1057,164.79,434 ,9,5,2,2.0,2,3
196,경기도 고양시 일산동 1074 ,일산동,1074,99.17,516 ,10,4,2,2.0,2,3
197,경기도 고양시 일산동 1046 ,일산동,1046,52.89,608 ,8,2,1,2.0,1,3
198,경기도 고양시 일산동 1046 ,일산동,1046,52.89,608 ,8,2,1,2.0,1,3
199,경기도 고양시 일산동 1046 ,일산동,1046,82.65,608 ,8,3,2,2.0,1,3
200,경기도 고양시 일산동 1046 ,일산동,1046,82.65,608 ,8,3,2,2.0,1,3
201,경기도 고양시 일산동 1069 ,일산동,1069,99.17,530 ,9,4,2,2.0,2,3
202,경기도 고양시 일산동 1069 ,일산동,1069,99.17,530 ,9,4,2,2.0,2,3
203,경기도 고양시 일산동 1069 ,일산동,1069,99.17,530 ,9,4,2,2.0,2,3
204,경기도 고양시 일산동 1069 ,일산동,1069,99.17,530 ,9,4,2,2.0,2,3
205,경기도 고양시 일산동 1069 ,일산동,1069,99.17,530 ,9,4,2,2.0,2,3
206,경기도 고양시 일산동 1069 ,일산동,1069,99.17,530 ,9,4,2,2.0,2,3
207,경기도 고양시 일산동 1069 ,일산동,1069,132.23,530 ,9,4,2,2.0,2,3
